Crop,Day,Water_Requirement_Crop,Water_Requirement_Greenhouse,Motor_Run_Time_Minutes
Banana,104.0,66.26666666666667,15.771466666666667,946.288
Banana,105.0,66.5,15.827000000000002,949.6200000000001
Banana,106.0,66.73333333333333,15.882533333333335,952.9520000000001
Banana,107.0,66.96666666666667,15.938066666666668,956.2840000000001
Banana,108.0,67.2,15.9936,959.616
Banana,109.0,67.43333333333334,16.049133333333334,962.948
Banana,110.0,67.66666666666667,16.104666666666667,966.28
Banana,111.0,67.9,16.160200000000003,969.6120000000002
Banana,112.0,68.13333333333334,16.215733333333336,972.9440000000002
Banana,113.0,68.36666666666666,16.271266666666666,976.276
Banana,114.0,68.6,16.3268,979.608
Banana,115.0,68.83333333333333,16.38233333333333,982.9399999999999
Banana,116.0,69.06666666666666,16.437866666666665,986.2719999999999
Banana,117.0,69.3,16.493399999999998,989.6039999999998
Banana,118.0,69.53333333333333,16.54893333333333,992.9359999999998
Banana,119.0,69.76666666666667,16.604466666666667,996.268
Banana,120.0,70.0,16.660000000000004,999.6000000000003
Banana,121.0,70.23333333333333,16.715533333333337,1002.9320000000002
Banana,122.0,70.46666666666667,16.771066666666666,1006.264
Banana,123.0,70.7,16.8266,1009.596
Banana,124.0,70.93333333333334,16.882133333333332,1012.9279999999999
Banana,125.0,71.16666666666667,16.937666666666665,1016.2599999999999
Banana,126.0,71.39999999999999,16.993199999999998,1019.5919999999999
Banana,127.0,71.63333333333334,17.048733333333338,1022.9240000000003
Banana,128.0,71.86666666666667,17.10426666666667,1026.2560000000003
Banana,129.0,72.10000000000001,17.159800000000004,1029.5880000000002
Banana,130.0,72.33333333333334,17.215333333333337,1032.9200000000003
Banana,131.0,72.56666666666666,17.270866666666667,1036.252
Banana,132.0,72.8,17.3264,1039.584
Banana,133.0,73.03333333333333,17.381933333333333,1042.916
Banana,134.0,73.26666666666667,17.437466666666666,1046.248
Banana,135.0,73.5,17.493,1049.58
Banana,136.0,73.73333333333333,17.548533333333335,1052.912
Banana,137.0,73.96666666666667,17.604066666666668,1056.2440000000001
Banana,138.0,74.2,17.6596,1059.576
Banana,139.0,74.43333333333334,17.715133333333334,1062.9080000000001
Banana,140.0,74.66666666666666,17.770666666666664,1066.2399999999998
Banana,141.0,74.89999999999999,17.8262,1069.5720000000001
Banana,142.0,75.13333333333333,17.881733333333333,1072.904
Banana,143.0,75.36666666666666,17.937266666666666,1076.2359999999999
Banana,144.0,75.60000000000001,17.992800000000006,1079.5680000000004
Banana,145.0,75.83333333333333,18.048333333333336,1082.9
Banana,146.0,76.06666666666666,18.10386666666667,1086.2320000000002
Banana,147.0,76.3,18.159399999999998,1089.5639999999999
Banana,148.0,76.53333333333333,18.21493333333333,1092.896
Banana,149.0,76.76666666666667,18.270466666666664,1096.2279999999998
Banana,150.0,77.0,18.326,1099.56
Banana,151.0,77.23333333333333,18.381533333333334,1102.892
Banana,152.0,77.46666666666667,18.437066666666666,1106.224
Banana,153.0,77.7,18.492600000000003,1109.5560000000003
Banana,154.0,77.93333333333334,18.548133333333336,1112.8880000000001
Banana,155.0,78.16666666666667,18.60366666666667,1116.2200000000003
Banana,156.0,78.4,18.659200000000002,1119.5520000000001
Banana,157.0,78.63333333333334,18.714733333333335,1122.884
Banana,158.0,78.86666666666666,18.770266666666668,1126.2160000000001
Banana,159.0,79.1,18.825799999999997,1129.5479999999998
Banana,160.0,79.33333333333333,18.88133333333333,1132.8799999999999
Banana,161.0,79.56666666666666,18.936866666666663,1136.2119999999998
Banana,162.0,79.8,18.9924,1139.544
Banana,163.0,80.03333333333333,19.047933333333333,1142.876
Banana,164.0,80.26666666666667,19.103466666666666,1146.2079999999999
Banana,165.0,80.5,19.159,1149.54
Banana,166.0,80.73333333333333,19.214533333333335,1152.872
Banana,167.0,80.96666666666667,19.27006666666667,1156.2040000000002
Banana,168.0,81.2,19.3256,1159.536
Banana,169.0,81.43333333333334,19.381133333333334,1162.8680000000002
Banana,170.0,81.66666666666667,19.43666666666667,1166.2000000000003
Banana,171.0,81.89999999999999,19.492199999999997,1169.5319999999997
Banana,172.0,82.13333333333334,19.547733333333333,1172.864
Banana,173.0,82.36666666666667,19.60326666666667,1176.1960000000001
Banana,174.0,82.60000000000001,19.658800000000003,1179.5280000000002
Banana,175.0,82.83333333333334,19.714333333333336,1182.8600000000001
Banana,176.0,83.06666666666666,19.769866666666665,1186.192
Banana,177.0,83.3,19.8254,1189.524
Banana,178.0,83.53333333333333,19.88093333333333,1192.8559999999998
Banana,179.0,83.76666666666667,19.936466666666668,1196.188
Banana,180.0,84.0,19.992,1199.52
